term,is_vocab_term,confidence_score,original_url,preferred_label,alternative_label
environmental quality,FALSE,0.8,https://soilwise-he.github.io/soil-health#EnvironmentalQuality,environmental quality,
enzymatic activity,TRUE,0.85,https://soilwise-he.github.io/soil-health#EnzymaticActivity,enzymatic activity,
ephemeral gully erosion,TRUE,0.95,https://soilwise-he.github.io/soil-health#EphemeralGullyErosion,ephemeral gully erosion,
epigeics,TRUE,0.9,https://soilwise-he.github.io/soil-health#Epigeics,epigeics,
eroded land,FALSE,0.92,https://soilwise-he.github.io/soil-health#ErodedLand,eroded land,
eroded material,TRUE,0.85,https://soilwise-he.github.io/soil-health#ErodedMaterial,eroded material,
eroded soil,FALSE,0.9,https://soilwise-he.github.io/soil-health#ErodedSoil,eroded soil,
essential biodiversity variables,FALSE,0.8,https://soilwise-he.github.io/soil-health#EssentialBiodiversityVariables,essential biodiversity variables,
essential micronutrient,TRUE,0.92,https://soilwise-he.github.io/soil-health#EssentialMicronutrient,essential micronutrient,
ethylbenzene,TRUE,0.95,https://soilwise-he.github.io/soil-health#Ethylbenzene,ethylbenzene,
eubacteria,FALSE,0.8,https://soilwise-he.github.io/soil-health#Eubacteria,eubacteria,
eutrophication,TRUE,0.85,https://soilwise-he.github.io/soil-health#Eutrophication,eutrophication,
evapotranspiration,TRUE,1,https://soilwise-he.github.io/soil-health#Evapotranspiration,evapotranspiration,
excess rainwater,FALSE,0.8,https://soilwise-he.github.io/soil-health#ExcessRainwater,excess rainwater,
excess water at depth,FALSE,0.9,https://soilwise-he.github.io/soil-health#ExcessWaterAtDepth,excess water at depth,
exchangeable sodium,TRUE,0.98,https://soilwise-he.github.io/soil-health#ExchangeableSodium,exchangeable sodium,
existing databases,FALSE,0.98,https://soilwise-he.github.io/soil-health#ExistingDatabases,existing databases,
expected pollution sites,FALSE,0.95,https://soilwise-he.github.io/soil-health#ExpectedPollutionSites,expected pollution sites,
expenditures on remediation,FALSE,0.96,https://soilwise-he.github.io/soil-health#ExpendituresOnRemediation,expenditures on remediation,
exploratory investigation,FALSE,0.97,https://soilwise-he.github.io/soil-health#ExploratoryInvestigation,exploratory investigation,
exposure assessments,FALSE,0.85,https://soilwise-he.github.io/soil-health#ExposureAssessments,exposure assessments,
exposure models,FALSE,0.85,https://soilwise-he.github.io/soil-health#ExposureModels,exposure models,
exposure of plant roots,FALSE,0.92,https://soilwise-he.github.io/soil-health#ExposureOfPlantRoots,exposure of plant roots,
exposure pathways,FALSE,0.8,https://soilwise-he.github.io/soil-health#ExposurePathways,exposure pathways,
extensive grazing,FALSE,0.93,https://soilwise-he.github.io/soil-health#ExtensiveGrazing,extensive grazing,
extensively managed farms,FALSE,0.95,https://soilwise-he.github.io/soil-health#ExtensivelyManagedFarms,extensively managed farms,
extensively managed land use forms,FALSE,0.85,https://soilwise-he.github.io/soil-health#ExtensivelyManagedLandUseForms,extensively managed land use forms,
extent,FALSE,0.93,https://soilwise-he.github.io/soil-health#Extent,extent,
extent of organic soils,FALSE,0.93,https://soilwise-he.github.io/soil-health#ExtentOfOrganicSoils,extent of organic soils,
external factors,FALSE,0.85,https://soilwise-he.github.io/soil-health#ExternalFactors,external factors,
external mechanical forces,TRUE,0.85,https://soilwise-he.github.io/soil-health#ExternalMechanicalForces,external mechanical forces,
external stress,FALSE,0.8,https://soilwise-he.github.io/soil-health#ExternalStress,external stress,
extractions,FALSE,0.85,https://soilwise-he.github.io/soil-health#Extractions,extractions,
extreme rainfall,FALSE,0.95,https://soilwise-he.github.io/soil-health#ExtremeRainfall,extreme rainfall,
fabric of organic horizons,TRUE,0.92,https://soilwise-he.github.io/soil-health#FabricOfOrganicHorizons,fabric of organic horizons,
facultative anoxic,FALSE,0.85,https://soilwise-he.github.io/soil-health#FacultativeAnoxic,facultative anoxic,
facultative soil parameters,FALSE,0.85,https://soilwise-he.github.io/soil-health#FacultativeSoilParameters,facultative soil parameters,
farmers,FALSE,1,https://soilwise-he.github.io/soil-health#Farmers,farmers,
faunal droppings,TRUE,0.85,https://soilwise-he.github.io/soil-health#FaunalDroppings,faunal droppings,
favourable land,FALSE,0.92,https://soilwise-he.github.io/soil-health#FavourableLand,favourable land,
fermented Of horizon,TRUE,0.92,https://soilwise-he.github.io/soil-health#FermentedOfHorizon,fermented Of horizon,
fertile topsoil loss,FALSE,0.95,https://soilwise-he.github.io/soil-health#FertileTopsoilLoss,fertile topsoil loss,
fertilised soils,FALSE,0.95,https://soilwise-he.github.io/soil-health#FertilisedSoils,fertilised soils,
fertiliser,TRUE,0.95,https://soilwise-he.github.io/soil-health#Fertiliser,fertiliser,
fertiliser addition,TRUE,0.85,https://soilwise-he.github.io/soil-health#FertiliserAddition,fertiliser addition,
fertiliser application,FALSE,0.95,https://soilwise-he.github.io/soil-health#FertiliserApplication,fertiliser application,
fibre production,FALSE,0.85,https://soilwise-he.github.io/soil-health#FibreProduction,fibre production,
field,FALSE,0.97,https://soilwise-he.github.io/soil-health#Field,field,
field scale,FALSE,0.85,https://soilwise-he.github.io/soil-health#FieldScale,field scale,
field-based monitoring approaches,FALSE,0.92,https://soilwise-he.github.io/soil-health#FieldbasedMonitoringApproaches,field-based monitoring approaches,
filter function,TRUE,0.8,https://soilwise-he.github.io/soil-health#FilterFunction,filter function,
fine root diameter distributions,TRUE,0.85,https://soilwise-he.github.io/soil-health#FineRootDiameterDistributions,fine root diameter distributions,
fine root length distributions,TRUE,0.85,https://soilwise-he.github.io/soil-health#FineRootLengthDistributions,fine root length distributions,
fine root weight distributions,TRUE,0.85,https://soilwise-he.github.io/soil-health#FineRootWeightDistributions,fine root weight distributions,
flagellates,TRUE,0.8,https://soilwise-he.github.io/soil-health#Flagellates,flagellates,
flagship species,FALSE,0.85,https://soilwise-he.github.io/soil-health#FlagshipSpecies,flagship species,
flash floods,FALSE,0.85,https://soilwise-he.github.io/soil-health#FlashFloods,flash floods,
flood resilience,FALSE,0.7,https://soilwise-he.github.io/soil-health#FloodResilience,flood resilience,
flood risk,FALSE,0.85,https://soilwise-he.github.io/soil-health#FloodRisk,flood risk,
flooding,FALSE,0.85,https://soilwise-he.github.io/soil-health#Flooding,flooding,
floods,FALSE,0.85,https://soilwise-he.github.io/soil-health#Floods,floods,
fluorescence measurements,FALSE,0.95,https://soilwise-he.github.io/soil-health#FluorescenceMeasurements,fluorescence measurements,
Fluvisols,TRUE,0.98,https://soilwise-he.github.io/soil-health#Fluvisols,Fluvisols,
fluxes,TRUE,0.85,https://soilwise-he.github.io/soil-health#Fluxes,fluxes,
fodder crops,FALSE,0.85,https://soilwise-he.github.io/soil-health#FodderCrops,fodder crops,
foliage,FALSE,0.85,https://soilwise-he.github.io/soil-health#Foliage,foliage,
foliage N/P ratio,TRUE,0.87,https://soilwise-he.github.io/soil-health#FoliageNPRatio,foliage N/P ratio,
food,FALSE,0.99,https://soilwise-he.github.io/soil-health#Food,food,
food chain,FALSE,0.95,https://soilwise-he.github.io/soil-health#FoodChain,food chain,
food crops,FALSE,0.9,https://soilwise-he.github.io/soil-health#FoodCrops,food crops,
food production,FALSE,0.98,https://soilwise-he.github.io/soil-health#FoodProduction,food production,
food quality,FALSE,0.95,https://soilwise-he.github.io/soil-health#FoodQuality,food quality,
food quality standard,FALSE,0.92,https://soilwise-he.github.io/soil-health#FoodQualityStandard,food quality standard,
food security,FALSE,0.95,https://soilwise-he.github.io/soil-health#FoodSecurity,food security,
forest ecosystems,FALSE,0.85,https://soilwise-he.github.io/soil-health#ForestEcosystems,forest ecosystems,
soils subject to forest fires,FALSE,0.97,https://soilwise-he.github.io/soil-health#ForestFireSoils,soils subject to forest fires,
forest floors,TRUE,0.85,https://soilwise-he.github.io/soil-health#ForestFloors,forest floors,forest floor
soils that have undergone forest and grassland conversions,FALSE,0.97,https://soilwise-he.github.io/soil-health#ForestGrasslandConversionSoils,soils that have undergone forest and grassland conversions,
forest growth,FALSE,0.85,https://soilwise-he.github.io/soil-health#ForestGrowth,forest growth,
forest land,TRUE,0.85,https://soilwise-he.github.io/soil-health#ForestLand,forest land,
forest nutritional quality,FALSE,0.9,https://soilwise-he.github.io/soil-health#ForestNutritionalQuality,forest nutritional quality,
forest soils,TRUE,0.95,https://soilwise-he.github.io/soil-health#ForestSoils,forest soils,
forest stands,FALSE,0.7,https://soilwise-he.github.io/soil-health#ForestStands,forest stands,
forest topsoils,TRUE,0.85,https://soilwise-he.github.io/soil-health#ForestTopsoils,forest topsoils,
forested areas,FALSE,0.85,https://soilwise-he.github.io/soil-health#ForestedAreas,forested areas,
forestry,FALSE,0.95,https://soilwise-he.github.io/soil-health#Forestry,forestry,
forests,FALSE,0.95,https://soilwise-he.github.io/soil-health#Forests,forests,
former mining areas,FALSE,0.93,https://soilwise-he.github.io/soil-health#FormerMiningAreas,former mining areas,
fossil soils,TRUE,0.96,https://soilwise-he.github.io/soil-health#FossilSoils,fossil soils,
freeze-thaw cycles,TRUE,0.95,https://soilwise-he.github.io/soil-health#FreezeThawCycles,freeze-thaw cycles,
frequency,FALSE,0.9,https://soilwise-he.github.io/soil-health#Frequency,frequency,
frost heave,TRUE,0.95,https://soilwise-he.github.io/soil-health#FrostHeave,frost heave,
fully sealed soils,FALSE,0.92,https://soilwise-he.github.io/soil-health#FullySealedSoils,fully sealed soils,
functional biodiversity,FALSE,0.85,https://soilwise-he.github.io/soil-health#FunctionalBiodiversity,functional biodiversity,
functional diversity,FALSE,0.7,https://soilwise-he.github.io/soil-health#FunctionalDiversity,functional diversity,
functional diversity of archaea,FALSE,0.83,https://soilwise-he.github.io/soil-health#FunctionalDiversityOfArchaea,functional diversity of archaea,
functional diversity of bacteria,FALSE,0.8,https://soilwise-he.github.io/soil-health#FunctionalDiversityOfBacteria,functional diversity of bacteria,
functional diversity of fungi,FALSE,0.85,https://soilwise-he.github.io/soil-health#FunctionalDiversityOfFungi,functional diversity of fungi,
functional diversity of selected invertebrates,FALSE,0.9,https://soilwise-he.github.io/soil-health#FunctionalDiversityOfSelectedInvertebrates,functional diversity of selected invertebrates,
functional groups,FALSE,0.8,https://soilwise-he.github.io/soil-health#FunctionalGroups,functional groups,
functional groups involved with N cycling,FALSE,0.85,https://soilwise-he.github.io/soil-health#FunctionalGroupsNCycling,functional groups involved with N cycling,
functional methods,FALSE,0.8,https://soilwise-he.github.io/soil-health#FunctionalMethods,functional methods,
functional organism groups,FALSE,0.8,https://soilwise-he.github.io/soil-health#FunctionalOrganismGroups,functional organism groups,
functionally relevant species,FALSE,0.77,https://soilwise-he.github.io/soil-health#FunctionallyRelevantSpecies,functionally relevant species,
function-based indicators,FALSE,0.75,https://soilwise-he.github.io/soil-health#FunctionbasedIndicators,function-based indicators,
functioning soils,FALSE,0.85,https://soilwise-he.github.io/soil-health#FunctioningSoils,functioning soils,
fungal biomass,TRUE,0.95,https://soilwise-he.github.io/soil-health#FungalBiomass,fungal biomass,fungi biomass
fungal mycelia,TRUE,0.92,https://soilwise-he.github.io/soil-health#FungalMycelia,fungal mycelia,
fungi,TRUE,0.9,https://soilwise-he.github.io/soil-health#Fungi,fungi,
fungi proportion,TRUE,0.85,https://soilwise-he.github.io/soil-health#FungiProportion,fungi proportion,
fungivores,TRUE,0.93,https://soilwise-he.github.io/soil-health#Fungivores,fungivores,
future management,FALSE,0.95,https://soilwise-he.github.io/soil-health#FutureManagement,future management,
gardens,FALSE,0.95,https://soilwise-he.github.io/soil-health#Gardens,gardens,
gas exchange,TRUE,0.92,https://soilwise-he.github.io/soil-health#GasExchange,gas exchange,
general soil indicators,FALSE,0.85,https://soilwise-he.github.io/soil-health#GeneralSoilIndicators,general soil indicators,
general soil parameters,FALSE,0.95,https://soilwise-he.github.io/soil-health#GeneralSoilParameters,general soil parameters,
general soil properties,FALSE,0.95,https://soilwise-he.github.io/soil-health#GeneralSoilProperties,general soil properties,
generalised thresholds,FALSE,0.9,https://soilwise-he.github.io/soil-health#GeneralisedThresholds,generalised thresholds,
genotype-based indicators,FALSE,0.85,https://soilwise-he.github.io/soil-health#GenotypebasedIndicators,genotype-based indicators,
genotypic methods,FALSE,0.8,https://soilwise-he.github.io/soil-health#GenotypicMethods,genotypic methods,
geological conditions,FALSE,0.85,https://soilwise-he.github.io/soil-health#GeologicalConditions,geological conditions,
geological origin,TRUE,0.9,https://soilwise-he.github.io/soil-health#GeologicalOrigin,geological origin,
geological soil formation rates,TRUE,0.9,https://soilwise-he.github.io/soil-health#GeologicalSoilFormationRates,geological soil formation rates,
Gleysols,TRUE,0.98,https://soilwise-he.github.io/soil-health#Gleysols,Gleysols,
grassland,TRUE,0.95,https://soilwise-he.github.io/soil-health#Grassland,grassland,
green,FALSE,0.98,https://soilwise-he.github.io/soil-health#Green,green,
green light,FALSE,0.95,https://soilwise-he.github.io/soil-health#GreenLight,green light,
green public areas,FALSE,0.95,https://soilwise-he.github.io/soil-health#GreenPublicAreas,green public areas,
green recycling,FALSE,0.92,https://soilwise-he.github.io/soil-health#GreenRecycling,green recycling,
green urban areas,FALSE,0.9,https://soilwise-he.github.io/soil-health#GreenUrbanAreas,green urban areas,
greenhouse gas emissions,FALSE,0.85,https://soilwise-he.github.io/soil-health#GreenhouseGasEmissions,greenhouse gas emissions,
greenhouse gases,FALSE,0.85,https://soilwise-he.github.io/soil-health#GreenhouseGases,greenhouse gases,
grey recycling,FALSE,0.92,https://soilwise-he.github.io/soil-health#GreyRecycling,grey recycling,
gross nutrient balance,TRUE,0.9,https://soilwise-he.github.io/soil-health#GrossNutrientBalance,gross nutrient balance,
ground-dwelling organisms,FALSE,0.75,https://soilwise-he.github.io/soil-health#GrounddwellingOrganisms,ground-dwelling organisms,
ground-truth data on soil erosion by water,FALSE,0.97,https://soilwise-he.github.io/soil-health#GroundtruthDataOnSoilErosionByWater,ground-truth data on soil erosion by water,
groundwater,FALSE,0.9,https://soilwise-he.github.io/soil-health#Groundwater,groundwater,
groundwater abstraction wells,FALSE,0.85,https://soilwise-he.github.io/soil-health#GroundwaterAbstractionWells,groundwater abstraction wells,
groundwater bodies,TRUE,0.8,https://soilwise-he.github.io/soil-health#GroundwaterBodies,groundwater bodies,
groundwater bodies pollution quantification,FALSE,0.95,https://soilwise-he.github.io/soil-health#GroundwaterBodiesPollutionQuantification,groundwater bodies pollution quantification,
groundwater incidents,FALSE,0.9,https://soilwise-he.github.io/soil-health#GroundwaterIncidents,groundwater incidents,
groundwater recharge,TRUE,0.95,https://soilwise-he.github.io/soil-health#GroundwaterRecharge,groundwater recharge,
groundwater reproduction,FALSE,0.92,https://soilwise-he.github.io/soil-health#GroundwaterReproduction,groundwater reproduction,
groundwater table depth,TRUE,0.95,https://soilwise-he.github.io/soil-health#GroundwaterTableDepth,groundwater table depth,
groundwater threshold,FALSE,0.8,https://soilwise-he.github.io/soil-health#GroundwaterThreshold,groundwater threshold,
growing season,FALSE,0.85,https://soilwise-he.github.io/soil-health#GrowingSeason,growing season,
gullies,TRUE,0.95,https://soilwise-he.github.io/soil-health#Gullies,gullies,
gully erosion,TRUE,0.98,https://soilwise-he.github.io/soil-health#GullyErosion,gully erosion,
gully erosion extent,FALSE,0.93,https://soilwise-he.github.io/soil-health#GullyErosionExtent,gully erosion extent,
gully erosion frequency,TRUE,0.85,https://soilwise-he.github.io/soil-health#GullyErosionFrequency,gully erosion frequency,
gully erosion severity,FALSE,0.95,https://soilwise-he.github.io/soil-health#GullyErosionSeverity,gully erosion severity,
gully prevention,FALSE,0.98,https://soilwise-he.github.io/soil-health#GullyPrevention,gully prevention,
habitat,FALSE,0.8,https://soilwise-he.github.io/soil-health#Habitat,habitat,
habitat extent,FALSE,0.78,https://soilwise-he.github.io/soil-health#HabitatExtent,habitat extent,
habitat for biodiversity,FALSE,0.85,https://soilwise-he.github.io/soil-health#HabitatForBiodiversity,habitat for biodiversity,
habitat provision,FALSE,0.7,https://soilwise-he.github.io/soil-health#HabitatProvision,habitat provision,
habitat provision capacity,FALSE,0.7,https://soilwise-he.github.io/soil-health#HabitatProvisionCapacity,habitat provision capacity,
harbours,FALSE,1,https://soilwise-he.github.io/soil-health#Harbours,harbours,
harmful organisms,FALSE,0.85,https://soilwise-he.github.io/soil-health#HarmfulOrganisms,harmful organisms,
harmonised information on soil erosion by water,FALSE,0.95,https://soilwise-he.github.io/soil-health#HarmonisedInformationOnSoilErosionByWater,harmonised information on soil erosion by water,
harvesting,FALSE,0.97,https://soilwise-he.github.io/soil-health#Harvesting,harvesting,
harvesting erosion,FALSE,0.92,https://soilwise-he.github.io/soil-health#HarvestingErosion,harvesting erosion,
healthy soils,FALSE,0.95,https://soilwise-he.github.io/soil-health#HealthySoils,healthy soils,
healthy vegetation,FALSE,0.95,https://soilwise-he.github.io/soil-health#HealthyVegetation,healthy vegetation,
heavily polluted dust particles,FALSE,0.97,https://soilwise-he.github.io/soil-health#HeavilyPollutedDustParticles,heavily polluted dust particles,
heavy clay soils,FALSE,0.95,https://soilwise-he.github.io/soil-health#HeavyClaySoils,heavy clay soils,
heavy machinery,FALSE,0.93,https://soilwise-he.github.io/soil-health#HeavyMachinery,heavy machinery,
heavy metal release,FALSE,0.85,https://soilwise-he.github.io/soil-health#HeavyMetalRelease,heavy metal release,
heavy metal storage,TRUE,0.85,https://soilwise-he.github.io/soil-health#HeavyMetalStorage,heavy metal storage,
heavy metals,TRUE,0.92,https://soilwise-he.github.io/soil-health#HeavyMetals,heavy metals,
heavy rainfall,FALSE,0.98,https://soilwise-he.github.io/soil-health#HeavyRainfall,heavy rainfall,
herbicides,TRUE,0.95,https://soilwise-he.github.io/soil-health#Herbicides,herbicides,
herbivores,FALSE,0.9,https://soilwise-he.github.io/soil-health#Herbivores,herbivores,
heterogeneous pattern,FALSE,0.92,https://soilwise-he.github.io/soil-health#HeterogeneousPattern,heterogeneous pattern,
hexachlorobenzene,TRUE,0.95,https://soilwise-he.github.io/soil-health#Hexachlorobenzene,hexachlorobenzene,
high base saturation,FALSE,1,https://soilwise-he.github.io/soil-health#HighBaseSaturation,high base saturation,
high clay content,FALSE,1,https://soilwise-he.github.io/soil-health#HighClayContent,high clay content,
high concentrations,FALSE,1,https://soilwise-he.github.io/soil-health#HighConcentrations,high concentrations,
high input levels,FALSE,1,https://soilwise-he.github.io/soil-health#HighInputLevels,high input levels,
high nitrogen status,FALSE,1,https://soilwise-he.github.io/soil-health#HighNitrogenStatus,high nitrogen status,
high nutrient status,FALSE,1,https://soilwise-he.github.io/soil-health#HighNutrientStatus,high nutrient status,
high organic matter accumulation,FALSE,0.95,https://soilwise-he.github.io/soil-health#HighOrganicMatterAccumulation,high organic matter accumulation,
high persistence,FALSE,0.95,https://soilwise-he.github.io/soil-health#HighPersistence,high persistence,
high phosphorus status,FALSE,1,https://soilwise-he.github.io/soil-health#HighPhosphorusStatus,high phosphorus status,
high pollutant concentrations,FALSE,1,https://soilwise-he.github.io/soil-health#HighPollutantConcentrations,high pollutant concentrations,
high screening levels,FALSE,0.98,https://soilwise-he.github.io/soil-health#HighScreeningLevels,high screening levels,
high soil C/N ratios,FALSE,1,https://soilwise-he.github.io/soil-health#HighSoilCNRatios,high soil C/N ratios,high C/N ratio
high soil moisture content,FALSE,1,https://soilwise-he.github.io/soil-health#HighSoilMoistureContent,high soil moisture content,
high soil n status,FALSE,0.98,https://soilwise-he.github.io/soil-health#HighSoilNStatus,high soil n status,
high soil organic carbon content,FALSE,1,https://soilwise-he.github.io/soil-health#HighSoilOrganicCarbonContent,high soil organic carbon content,
high soil P content,FALSE,1,https://soilwise-he.github.io/soil-health#HighSoilPContent,high soil P content,
high soil P status,FALSE,0.99,https://soilwise-he.github.io/soil-health#HighSoilPStatus,high soil P status,
highly favourable land,FALSE,0.98,https://soilwise-he.github.io/soil-health#HighlyFavourableLand,highly favourable land,
high pH,FALSE,1,https://soilwise-he.github.io/soil-health#HighpH,high pH,
historical soil management,FALSE,0.85,https://soilwise-he.github.io/soil-health#HistoricalSoilManagement,historical soil management,
Histosols,TRUE,1,https://soilwise-he.github.io/soil-health#Histosols,Histosols,
homogeneous pollution pattern,FALSE,0.95,https://soilwise-he.github.io/soil-health#HomogeneousPollutionPattern,homogeneous pollution pattern,
horizon boundaries,TRUE,0.95,https://soilwise-he.github.io/soil-health#HorizonBoundaries,horizon boundaries,
horizontal fluxes,FALSE,0.7,https://soilwise-he.github.io/soil-health#HorizontalFluxes,horizontal fluxes,
hormonal residues,TRUE,0.81,https://soilwise-he.github.io/soil-health#HormonalResidues,hormonal residues,
hortisols,TRUE,0.95,https://soilwise-he.github.io/soil-health#Hortisols,hortisols,cultivated soils in gardens
hot spots,FALSE,0.85,https://soilwise-he.github.io/soil-health#HotSpots,hot spots,
hot summers,FALSE,1,https://soilwise-he.github.io/soil-health#HotSummers,hot summers,
hot water extractable carbon,TRUE,0.98,https://soilwise-he.github.io/soil-health#HotWaterExtractableCarbon,hot water extractable carbon,HWC
human,FALSE,1,https://soilwise-he.github.io/soil-health#Human,human,
human activities,FALSE,0.95,https://soilwise-he.github.io/soil-health#HumanActivities,human activities,
human beings,FALSE,1,https://soilwise-he.github.io/soil-health#HumanBeings,human beings,
human exposure,FALSE,0.92,https://soilwise-he.github.io/soil-health#HumanExposure,human exposure,
human health,FALSE,0.97,https://soilwise-he.github.io/soil-health#HumanHealth,human health,
human health criteria,FALSE,0.95,https://soilwise-he.github.io/soil-health#HumanHealthCriteria,human health criteria,
human health protection,FALSE,0.95,https://soilwise-he.github.io/soil-health#HumanHealthProtection,human health protection,
human interference,FALSE,0.85,https://soilwise-he.github.io/soil-health#HumanInterference,human interference,
human medicines,FALSE,0.95,https://soilwise-he.github.io/soil-health#HumanMedicines,human medicines,
human well-being,FALSE,1,https://soilwise-he.github.io/soil-health#HumanWellbeing,human well-being,
human-induced practices,FALSE,0.97,https://soilwise-he.github.io/soil-health#HumaninducedPractices,human-induced practices,
human-made organic pollutants,TRUE,0.94,https://soilwise-he.github.io/soil-health#HumanmadeOrganicPollutants,human-made organic pollutants,
humic Oh horizon,TRUE,0.94,https://soilwise-he.github.io/soil-health#HumicOhHorizon,humic Oh horizon,
humid temperate climates,FALSE,0.83,https://soilwise-he.github.io/soil-health#HumidTemperateClimates,humid temperate climates,
hydraulic conductivity,TRUE,1,https://soilwise-he.github.io/soil-health#HydraulicConductivity,hydraulic conductivity,
hydrogen,FALSE,0.8,https://soilwise-he.github.io/soil-health#Hydrogen,hydrogen,
hydrogen ions,TRUE,0.9,https://soilwise-he.github.io/soil-health#HydrogenIons,hydrogen ions,
hydrological cycle,FALSE,0.93,https://soilwise-he.github.io/soil-health#HydrologicalCycle,hydrological cycle,
hydrological origin,TRUE,0.9,https://soilwise-he.github.io/soil-health#HydrologicalOrigin,hydrological origin,
hyphae,TRUE,0.88,https://soilwise-he.github.io/soil-health#Hyphae,hyphae,
imbalanced growth,FALSE,0.92,https://soilwise-he.github.io/soil-health#ImbalancedGrowth,imbalanced growth,
immobilisation,TRUE,0.9,https://soilwise-he.github.io/soil-health#Immobilisation,immobilisation,
impact of management on soil erosion,FALSE,0.99,https://soilwise-he.github.io/soil-health#ImpactOfManagementOnSoilErosion,impact of management on soil erosion,
impermeable artificial material,FALSE,0.85,https://soilwise-he.github.io/soil-health#ImpermeableArtificialMaterial,impermeable artificial material,
impermeable materials,TRUE,0.9,https://soilwise-he.github.io/soil-health#ImpermeableMaterials,impermeable materials,impermeable material
impervious areas,TRUE,0.83,https://soilwise-he.github.io/soil-health#ImperviousAreas,impervious areas,
impervious soils,TRUE,0.85,https://soilwise-he.github.io/soil-health#ImperviousSoils,impervious soils,
impervious surfaces,TRUE,0.92,https://soilwise-he.github.io/soil-health#ImperviousSurfaces,impervious surfaces,
imperviousness,TRUE,0.9,https://soilwise-he.github.io/soil-health#Imperviousness,imperviousness,
imperviousness change,FALSE,0.8,https://soilwise-he.github.io/soil-health#ImperviousnessChange,imperviousness change,
improper irrigation methods,FALSE,0.97,https://soilwise-he.github.io/soil-health#ImproperIrrigationMethods,improper irrigation methods,
improved regulatory framework,FALSE,0.98,https://soilwise-he.github.io/soil-health#ImprovedRegulatoryFramework,improved regulatory framework,
inappropriate canal management,FALSE,0.98,https://soilwise-he.github.io/soil-health#InappropriateCanalManagement,inappropriate canal management,
inappropriate water reservoir management,FALSE,0.98,https://soilwise-he.github.io/soil-health#InappropriateWaterReservoirManagement,inappropriate water reservoir management,
increase in impervious surface area,FALSE,1,https://soilwise-he.github.io/soil-health#IncreaseInImperviousSurfaceArea,increase in impervious surface area,
increased turbidity in run-off,FALSE,0.98,https://soilwise-he.github.io/soil-health#IncreasedTurbidityInRunoff,increased turbidity in run-off,
incubation,FALSE,0.7,https://soilwise-he.github.io/soil-health#Incubation,incubation,
individual body mass,FALSE,0.95,https://soilwise-he.github.io/soil-health#IndividualBodyMass,individual body mass,
industrial activities,FALSE,0.92,https://soilwise-he.github.io/soil-health#IndustrialActivities,industrial activities,
industrial areas,FALSE,0.93,https://soilwise-he.github.io/soil-health#IndustrialAreas,industrial areas,industrial area
industrial land use,FALSE,0.85,https://soilwise-he.github.io/soil-health#IndustrialLandUse,industrial land use,
industrial pollutant inputs,FALSE,0.85,https://soilwise-he.github.io/soil-health#IndustrialPollutantInputs,industrial pollutant inputs,
industrial processes,FALSE,0.95,https://soilwise-he.github.io/soil-health#IndustrialProcesses,industrial processes,
industry,FALSE,1,https://soilwise-he.github.io/soil-health#Industry,industry,
in-field sediment problems,FALSE,0.93,https://soilwise-he.github.io/soil-health#InfieldSedimentProblems,in-field sediment problems,
infrastructure,FALSE,0.95,https://soilwise-he.github.io/soil-health#Infrastructure,infrastructure,
infrastructure platform,FALSE,0.95,https://soilwise-he.github.io/soil-health#InfrastructurePlatform,infrastructure platform,
inherent soil attributes,FALSE,0.85,https://soilwise-he.github.io/soil-health#InherentSoilAttributes,inherent soil attributes,
inherent soil properties,FALSE,0.85,https://soilwise-he.github.io/soil-health#InherentSoilProperties,inherent soil properties,
input-output assessment of heavy metals in arable cropping systems,FALSE,0.97,https://soilwise-he.github.io/soil-health#InputOutputAssessmentOfHeavyMetalsInArableCroppingSystems,input-output assessment of heavy metals in arable cropping systems,
inputs,FALSE,0.85,https://soilwise-he.github.io/soil-health#Inputs,inputs,
intake,FALSE,0.82,https://soilwise-he.github.io/soil-health#Intake,intake,
integrated management approaches,FALSE,0.97,https://soilwise-he.github.io/soil-health#IntegratedManagementApproaches,integrated management approaches,
intended land use,FALSE,0.97,https://soilwise-he.github.io/soil-health#IntendedLandUse,intended land use,
intended water body use,FALSE,0.85,https://soilwise-he.github.io/soil-health#IntendedWaterBodyUse,intended water body use,
intense rain events,FALSE,0.96,https://soilwise-he.github.io/soil-health#IntenseRainEvents,intense rain events,
intensity,FALSE,0.95,https://soilwise-he.github.io/soil-health#Intensity,intensity,
intensive agriculture,FALSE,0.95,https://soilwise-he.github.io/soil-health#IntensiveAgriculture,intensive agriculture,
intensive land use,FALSE,0.95,https://soilwise-he.github.io/soil-health#IntensiveLandUse,intensive land use,
intensive rotation,FALSE,0.85,https://soilwise-he.github.io/soil-health#IntensiveRotation,intensive rotation,
interaction network between soil bacteria,FALSE,0.9,https://soilwise-he.github.io/soil-health#InteractionNetworkBetweenSoilBacteria,interaction network between soil bacteria,
internal soil strength,TRUE,0.85,https://soilwise-he.github.io/soil-health#InternalSoilStrength,internal soil strength,
interrill erosion,TRUE,0.98,https://soilwise-he.github.io/soil-health#InterrillErosion,interrill erosion,
interrill erosion extent,FALSE,0.93,https://soilwise-he.github.io/soil-health#InterrillErosionExtent,interrill erosion extent,
interrill erosion frequency,TRUE,0.87,https://soilwise-he.github.io/soil-health#InterrillErosionFrequency,interrill erosion frequency,
interrill erosion severity,FALSE,0.95,https://soilwise-he.github.io/soil-health#InterrillErosionSeverity,interrill erosion severity,
